recipient,amount PPT owed (18 decimals),amount deposited of USD,amountPPT
0x82fd7cbdc32ab2c561b7f785511252c2fff787a5,0.00,$0.00,0.00
0xcec6bf0d3419ca8a74e0f20cb764a6f6cabf3937,"250,000,000,000,000,000,000.00",$50.00,250.00
0x8e686bf0591bdc911f160d206dbebefd35502ec7,"1,220,000,000,000,000,000,000.00",$244.00,"1,220.00"
0xe1b8ebfc9196fa4341d564b9d8b8df81f9e9d0ed,"500,000,000,000,000,000,000.00",$100.00,500.00
0x756addd4b72d40e9f119b459fc2d939035928bd6,"250,000,000,000,000,000,000.00",$50.00,250.00
0xb51c9bb09d61286e126a5c3cbf0c6b29d36c44c2,"1,000,000,000,000,000,000,000.00",$200.00,"1,000.00"
0xcb63d4930dde17e1156a341cba3735a3d8caffc7,"260,000,000,000,000,000,000.00",$52.00,260.00
0xb578bb023a7d5b48202494645d6fedcb784f066a,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0xdd8fe5c6165a885e6b408f4d2f306fb7ab015f38,"250,000,000,000,000,000,000.00",$50.00,250.00
0xc707fc7ba9092354e858cf4ea84595106c693e47,"500,000,000,000,000,000,000.00",$100.00,500.00
0xc1e153bda003e9764549bac71af0cf5aa0d2e3c6,"505,000,000,000,000,000,000.00",$101.00,505.00
0xaea9c895d31ab1f669ce333fa8db550305efba6e,"250,000,000,000,000,000,000.00",$50.00,250.00
0x98cdac91b9ca91dd07b3420434d604ddaa706ab0,"280,000,000,000,000,000,000.00",$56.00,280.00
0xed01e1ea368400a62d10bc0f2150e7b0863d8294,"250,000,000,000,000,000,000.00",$50.00,250.00
0x0b5e99fc7dfb2b8a63366fa654baf285c574165a,"250,000,000,000,000,000,000.00",$50.00,250.00
0x73a3DA680Bb948ae23F8d6f6CdF74ECbC30925b8,"19,573,450,000,000,000,000,000.00","$3,914.69","19,573.45"
0x6A9fda7dB038ff821bab6725169aa69f24EEd30d,"24,434,650,000,000,000,000,000.00","$4,886.93","24,434.65"
0x86d877145F8266a432e686480A25Aea990D72fc4,"10,805,000,000,000,000,000,000.00","$2,161.00","10,805.00"
0x2aA66d39435296F3d2650412F1D75C3065534270,"9,115,000,000,000,000,000,000.00","$1,823.00","9,115.00"
0x8741bfAefE44fb99e1b1609F6319632834d6c85F,"7,235,000,000,000,000,000,000.00","$1,447.00","7,235.00"
0x59E8B548328cf6C1DeaC2df9ff94985C92f5BD78,"17,315,000,000,000,000,000,000.00","$3,463.00","17,315.00"
0x959D1b7617C237E15cA6557D6D0B49F710518bDA,"8,015,000,000,000,000,000,000.00","$1,603.00","8,015.00"
0xCB0035107EFA1627f1a096a9B8412825Af74e918,"22,685,000,000,000,000,000,000.00","$4,537.00","22,685.00"
0xE85F5911aAb18A37DA7F6f7E265865b82F2449EB,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0xAb3cc14673ADf74981E3DCB0217D6e6ea5276725,"20,825,000,000,000,000,000,000.00","$4,165.00","20,825.00"
0x5adb4ce193f60595d99c86040286a80f6a93541c,"250,000,000,000,000,000,000.00",$50.00,250.00
0xBF66d7577BD9E7B60c655208C569267E3A4AfC8A,"18,805,000,000,000,000,000,000.00","$3,761.00","18,805.00"
0x4b4864C8053Dc87B6Dc7Eb5D539165CFaE179D6B,"15,175,000,000,000,000,000,000.00","$3,035.00","15,175.00"
0x8b2fc26A1eE9199694FE3A20F2D08B330639Cf6E,"17,915,000,000,000,000,000,000.00","$3,583.00","17,915.00"
0x703a513e160976ab8c0E9F0Afc3CEfbcDD41dB83,"10,095,000,000,000,000,000,000.00","$2,019.00","10,095.00"
0xD31dF995a0A511b0dB2c3f24c4FbbF08F03CA314,"715,000,000,000,000,000,000.00",$143.00,715.00
0xa76068AD9d7Ac3228f5566C7818641715eEd1C2a,"16,115,000,000,000,000,000,000.00","$3,223.00","16,115.00"
0x3031DB6A1d577d30f538Eb127914de2D84c130aF,"25,000,000,000,000,000,000,000.00","$5,000.00","25,000.00"
0xa0a4BE5a61A27Ee7a06a02012C38c688eeE5336f,"8,115,000,000,000,000,000,000.00","$1,623.00","8,115.00"
0xd892158439353C551C07C8f19590bA28DeA249a9,"6,465,000,000,000,000,000,000.00","$1,293.00","6,465.00"
0x82E180562273980c039E1dd7d0BF7f82100026BC,"13,735,000,000,000,000,000,000.00","$2,747.00","13,735.00"
0x344A0DE0f43045d8aD4A09Dd6360A0806CaF6E5b,"14,495,000,000,000,000,000,000.00","$2,899.00","14,495.00"
0xDD70eD4C53bd5EB4FCd2036329BC67DAf3C99e81,"9,170,000,000,000,000,000,000.00","$1,834.00","9,170.00"
0x1cFE3AA7928c2C12461a62124A81d7aF2E714C52,"12,425,000,000,000,000,000,000.00","$2,485.00","12,425.00"
0x8087b5aAaE1221FDCc21516781B87fD044874b31,"12,065,000,000,000,000,000,000.00","$2,413.00","12,065.00"
0xcF7cDCEA6157C9f02dAC0099a861D48C84875f12,"6,270,000,000,000,000,000,000.00","$1,254.00","6,270.00"
0x8b2eC3c85e3e8304C4BbD217cC510f3647E6b5f4,"7,630,000,000,000,000,000,000.00","$1,526.00","7,630.00"
0xA865a9fd91c2553dB3285BbC03fb7394Cf4bEb42,"14,995,000,000,000,000,000,000.00","$2,999.00","14,995.00"
0x298F4aE313403deca8B547d559A72FF05F2258C9,"2,605,000,000,000,000,000,000.00",$521.00,"2,605.00"
0x871A5b36b8f569890DA580AF7503521a6E6169a7,"13,025,000,000,000,000,000,000.00","$2,605.00","13,025.00"
0x488028B68F21C1e353429A6D77482240ea279195,"1,785,000,000,000,000,000,000.00",$357.00,"1,785.00"
0xe52e83e978b2ee613930fe9C9775EA4FBF0Be23c,"13,070,000,000,000,000,000,000.00","$2,614.00","13,070.00"
0x40E493B5BAd7a143C286c0bBcbe306378f622077,"9,740,000,000,000,000,000,000.00","$1,948.00","9,740.00"
0xE9C79e171FC3899a1c7594733D9C806f04dFEcE2,"3,810,000,000,000,000,000,000.00",$762.00,"3,810.00"
0xCC4797A0ab16a9c12C194b4EcA5cCB57c54a9D60,"11,875,000,000,000,000,000,000.00","$2,375.00","11,875.00"
0x3a6Ec4f57780FE906CeA045A3De571C5bb00f498,"8,145,000,000,000,000,000,000.00","$1,629.00","8,145.00"
0xc1fDDeD509E4a65719753c3F61b6796643493D05,"5,645,000,000,000,000,000,000.00","$1,129.00","5,645.00"
0x8AD3269c54315252B271CB837410113c754ECD60,"10,315,000,000,000,000,000,000.00","$2,063.00","10,315.00"
0xf9Fe4AB91208C3914B280e3c486999bE81ef3096,"4,240,000,000,000,000,000,000.00",$848.00,"4,240.00"
0x661a1876E4b4a3a948D79213F5c9edD5938A44E8,"6,605,000,000,000,000,000,000.00","$1,321.00","6,605.00"
0xC68a061E16406ae08404C00D15a7B35654b1a84F,"13,995,000,000,000,000,000,000.00","$2,799.00","13,995.00"
0x9B1D55AC564745a9aFD66d3a09657F3b456FD5Ae,"11,255,000,000,000,000,000,000.00","$2,251.00","11,255.00"
0xca8EAC45d018A886EA54a59D16cAec4ED464a742,"7,495,000,000,000,000,000,000.00","$1,499.00","7,495.00"
0x1E8120d27DEBD7605B1107e38E6c7cC52842F920,"495,000,000,000,000,000,000.00",$99.00,495.00
0xeb17b18d1c1503e6f090fc15c2318903d0a906f2,"1,005,000,000,000,000,000,000.00",$201.00,"1,005.00"
0x19a94BaFB59E19fFD0c61BB2ea10b3AaC0c8FFd0,"300,000,000,000,000,000,000.00",$60.00,300.00
0x6e3f7db5390e393ad1b5e46a1046bb2ce8ff974e,"250,000,000,000,000,000,000.00",$50.00,250.00
0x5a32e5ca415a53654d4d17a45d30faf50e4f09c7,"250,000,000,000,000,000,000.00",$50.00,250.00
0xdbf914930bd67033b258341d394515c88a2ef666,"250,000,000,000,000,000,000.00",$50.00,250.00
0xf36a8d525a1e2ed3d1abddfba5a950c1ababf6cd,"735,000,000,000,000,000,000.00",$147.00,735.00
0x7dbe1741295e4ec99770ca120d31d4f774d59ac4,"1,000,000,000,000,000,000,000.00",$200.00,"1,000.00"
0xf79bac4615fe8631685749ca6b7ba22ba8c16a90,"250,000,000,000,000,000,000.00",$50.00,250.00
0x6125e3c54a0c93090261948dd33e89cd29b205b5,"600,000,000,000,000,000,000.00",$120.00,600.00
0xd7cd1a2df715abaac7b81e001cc3b063e2022fee,"310,000,000,000,000,000,000.00",$62.00,310.00
0xf3837fc9a1c4702cd5e3e3703369ae2f0dac449c,"250,000,000,000,000,000,000.00",$50.00,250.00
0x1d1a547b52f26cb7041065544836fbfa8043b6da,"515,000,000,000,000,000,000.00",$103.00,515.00
0x88e85316a246b9e57a25a3481af990d262cad4b3,"250,000,000,000,000,000,000.00",$50.00,250.00
0x7db064cce4faed858e81a18f3fb292e48ff625e6,"250,000,000,000,000,000,000.00",$50.00,250.00
0x9447a25b2a4487b301915a9fe7b4bc5653fb4c18,"250,000,000,000,000,000,000.00",$50.00,250.00
0x16fe7c393db52dd369e70e64d817c600687548cb,"2,020,000,000,000,000,000,000.00",$404.00,"2,020.00"
0xe8bb740ad2ca00fa1e7e325b34b7ccb1b20b24f8,"3,400,000,000,000,000,000,000.00",$680.00,"3,400.00"
0x98781eccbe2958390b0d3e68c7a7ff77a5f69bf0,"3,145,000,000,000,000,000,000.00",$629.00,"3,145.00"
0x119a468dea5fa18e676587a6cf8e0cb4898cbab9,"315,000,000,000,000,000,000.00",$63.00,315.00
0xa1772b3b2d91cd3e235d7bd7e5f3ca77dc97c802,"255,000,000,000,000,000,000.00",$51.00,255.00
0x88546b8c7413dc1078fd56f9edabdaffcf492809,"350,000,000,000,000,000,000.00",$70.00,350.00
0xec461bd577e7d5a4c9a69d1a28d1fe880ae6e206,"1,500,000,000,000,000,000,000.00",$300.00,"1,500.00"
0x5cD3a8555749d1da6f1321d13A230158FCE28205,"950,000,000,000,000,000,000.00",$190.00,950.00
0xc42304722aDB2071d36ca5C5618aA9E82c28E140,"605,000,000,000,000,000,000.00",$121.00,605.00
0x0425d6AB6Ea4a0F657e27F626640a6d708a2Df48,"1,730,000,000,000,000,000,000.00",$346.00,"1,730.00"
0xa18156F2C4E1404b050968289a7377d37d1C22A5,"605,000,000,000,000,000,000.00",$121.00,605.00
0xE543Ac4d8b09AcbF6cF8782b251c11C8C3794F7F,"430,000,000,000,000,000,000.00",$86.00,430.00
0x748903c564923e421c247c8ebfDB16B7330BE1DF,"405,000,000,000,000,000,000.00",$81.00,405.00
0x1D6c32059589470E9f99D23900A9aA5f2BdFB7a0,"1,905,000,000,000,000,000,000.00",$381.00,"1,905.00"
0xc5A38CAC08B0407ae7a7Ff81b4Eeb9362DEe2Aac,"1,775,000,000,000,000,000,000.00",$355.00,"1,775.00"
0xF6CfD27ff192FFF09e7c4d040b356b92FB4b1D6d,"1,285,000,000,000,000,000,000.00",$257.00,"1,285.00"
0x3C0B565af77799301995B7413ec4DACe084D375b,"1,790,000,000,000,000,000,000.00",$358.00,"1,790.00"
0xfe335BacEE5586870dcB18f5D80B2984B0A4306A,"1,725,000,000,000,000,000,000.00",$345.00,"1,725.00"
0x9b182358BEF7293E5F7a2Eb0cAc71bef7803b884,"1,760,000,000,000,000,000,000.00",$352.00,"1,760.00"
0x2EB63aAd7d4c2578103cEC4097e834CD26155490,"1,730,000,000,000,000,000,000.00",$346.00,"1,730.00"
0xD10A3b35233aB0c3336F85A02Ca39b67f612e7D8,"1,105,000,000,000,000,000,000.00",$221.00,"1,105.00"
0x829D8fb95588F2E63baECFd12BED6d577779dB37,"1,930,000,000,000,000,000,000.00",$386.00,"1,930.00"
0xF136F3e48771371F4f39C80bAe891D53084728A6,"430,000,000,000,000,000,000.00",$86.00,430.00
0x4aF9efD2b5e5F5dc3B8F7e496167638b6649fea3,"545,000,000,000,000,000,000.00",$109.00,545.00
0xad55396f0525484755F6044554005318fBaB8cD1,"460,000,000,000,000,000,000.00",$92.00,460.00
0xB0B019600C678B1E96eC800BD04628fD7d82993b,"1,790,000,000,000,000,000,000.00",$358.00,"1,790.00"
0xE6AA603D8b1a199678957644CB45E5f06fC9Bf74,"1,200,000,000,000,000,000,000.00",$240.00,"1,200.00"
0x539C909a2547B9460ac34714C56e4CdC43ae1035,"1,085,000,000,000,000,000,000.00",$217.00,"1,085.00"
0x5a63943cE946cD02cb1fC0bE3E3780678A1Ff3e8,"1,965,000,000,000,000,000,000.00",$393.00,"1,965.00"
0xC7Be0724FA73D165B97fc7F55f62ae391543ee84,"995,000,000,000,000,000,000.00",$199.00,995.00
0x2C0f87E78e850e9c438112711c0295a8e371450E,"1,220,000,000,000,000,000,000.00",$244.00,"1,220.00"
0x9bB349015f0076925cAe608c4b298EaA6fF1B1FF,"495,000,000,000,000,000,000.00",$99.00,495.00
0x0B9EF61b2e825d902b882a6eCCA4fBc8bE411a89,"1,710,000,000,000,000,000,000.00",$342.00,"1,710.00"
0x14E356b6D00cD23E1D79b2b7647DD0E905610F7c,"1,760,000,000,000,000,000,000.00",$352.00,"1,760.00"
0xfee1e6135653FcA7afefDa8ed43109bca5D87273,"1,885,000,000,000,000,000,000.00",$377.00,"1,885.00"
0x89c49C08bEbC26512f9c63055498b54C904b3374,"2,000,000,000,000,000,000,000.00",$400.00,"2,000.00"
0x61EF093DAfDdb866C320562725aa9885Eb3E2425,"650,000,000,000,000,000,000.00",$130.00,650.00
0xF0190e0AD467B3417ded7ef5805f05247Aaa1081,"2,080,000,000,000,000,000,000.00",$416.00,"2,080.00"
0xCfF25Cc7411454EA40e1e52e828d659e4b8E0fF5,"1,720,000,000,000,000,000,000.00",$344.00,"1,720.00"
0x27239d73ef4de7019ec52d764164deb1812C7F23,"1,615,000,000,000,000,000,000.00",$323.00,"1,615.00"
0x6f3b712fa4e3D657a34dc6Ef7FF37813af09b74e,"1,675,000,000,000,000,000,000.00",$335.00,"1,675.00"
0xd62D76212c8945950Af81bdb818572CC21621AE0,"960,000,000,000,000,000,000.00",$192.00,960.00
0xEA21063B7962ae2634bC40dC12EC6C65C9E854e8,"1,280,000,000,000,000,000,000.00",$256.00,"1,280.00"
0xd9494c4B00d2f20ccc67BabFCB1725AF9Ad54bF5,"1,600,000,000,000,000,000,000.00",$320.00,"1,600.00"
0x7d50cdF644f7669537D1B159405aed9820e3bbcD,"1,955,000,000,000,000,000,000.00",$391.00,"1,955.00"
0x40247a437B94D4A8283FE44D5338b64E106EdF62,"440,000,000,000,000,000,000.00",$88.00,440.00
0x24898018f1f2d21B2708B3d444834957aa96b244,"1,295,000,000,000,000,000,000.00",$259.00,"1,295.00"
0x4D30209BD2592A63Ed693Ba95C990Fb5F447FDa8,"1,605,000,000,000,000,000,000.00",$321.00,"1,605.00"
0xc79e9457b743f035ecd495389b3c8d6133525413,"705,000,000,000,000,000,000.00",$141.00,705.00
0xa4046e17672fC3E45a9B34853894073D13201a36,"1,110,000,000,000,000,000,000.00",$222.00,"1,110.00"
0xb60821b87A045Ceb294827aD65305CB0fBaf1208,"3,100,000,000,000,000,000,000.00",$620.00,"3,100.00"
0xBfd3307E24F614E06961398eC144B8beB9b5e637,"2,140,000,000,000,000,000,000.00",$428.00,"2,140.00"
0xa1f6095d7F844F8aE67F677575Da7c7bd079F4ad,"2,495,000,000,000,000,000,000.00",$499.00,"2,495.00"
0x155d2427D3188D90662f346b22B003f83afa0EeD,"3,040,000,000,000,000,000,000.00",$608.00,"3,040.00"
0xa9317ec78F3a64ba1c24Ba4DFC405061A3F24349,"1,830,000,000,000,000,000,000.00",$366.00,"1,830.00"
0x0f3e30b8259A5C0aD05a7CA076740ec7F1a07b10,"4,890,000,000,000,000,000,000.00",$978.00,"4,890.00"
0x1948F2caA833025d2E2d420c414aC3ce191Dc9c5,"6,105,000,000,000,000,000,000.00","$1,221.00","6,105.00"
0x61A31c44088B2E67f043cd9C52B82E50d6A761A3,"2,695,000,000,000,000,000,000.00",$539.00,"2,695.00"
0xe0F06D626dBA683388f7449D3cb40C023899E146,"2,275,000,000,000,000,000,000.00",$455.00,"2,275.00"
0x4c0c0ca9f8F69D7bD5dF9bC751c947c15c709B65,"1,805,000,000,000,000,000,000.00",$361.00,"1,805.00"
0x2f10Ed7E6630a8eea3d95326f804f4327409cEaf,"4,325,000,000,000,000,000,000.00",$865.00,"4,325.00"
0xEd178B1b674e70Dd53e6F69701caa153aC9a7be7,"2,000,000,000,000,000,000,000.00",$400.00,"2,000.00"
0x93C716E727c2BCeF8132D2fF4498C9a0c6397899,"5,665,000,000,000,000,000,000.00","$1,133.00","5,665.00"
0x7d3F927d7F5570bED84a5F51C71e47eeF0312aEc,"6,595,000,000,000,000,000,000.00","$1,319.00","6,595.00"
0x7c237aa3eEe1A02233bc6a789f74eA6b9D231127,"5,200,000,000,000,000,000,000.00","$1,040.00","5,200.00"
0x2FD6C5d095E1291952a1858dD62941315EEe54F3,"4,695,000,000,000,000,000,000.00",$939.00,"4,695.00"
0xFA7953FA29e982832017a6f136b430D258111ef7,"3,790,000,000,000,000,000,000.00",$758.00,"3,790.00"
0x0712ff696b08946839979708D5701A3A18649353,"4,475,000,000,000,000,000,000.00",$895.00,"4,475.00"
0x7b9dd175e1c2D2e84659339a1D4a5C39fB4719b9,"2,520,000,000,000,000,000,000.00",$504.00,"2,520.00"
0x2ffaA1E981c55d1420cf0ffF03AfeF743c118ef7,0.00,$0.00,0.00
0x9FA6A26Eef928E33D06FCA4317F0F34866a3174D,"4,025,000,000,000,000,000,000.00",$805.00,"4,025.00"
0x00Bf9444F64b63F474f8833E0573bec96BCa1cCa,"6,330,000,000,000,000,000,000.00","$1,266.00","6,330.00"
0x686D700429df5F8F9cAf4E26ced8E24b19A0CEC9,"2,025,000,000,000,000,000,000.00",$405.00,"2,025.00"
0xe53F7B5d23763D4edE7f9746cB0ec6283CA2E1BE,"1,610,000,000,000,000,000,000.00",$322.00,"1,610.00"
0x2c65A5a808450751F55AaA105ab84Ee52CF201FF,"3,430,000,000,000,000,000,000.00",$686.00,"3,430.00"
0xB3fd920d64565BCB1598F2e8aF707788389228A0,"7,245,000,000,000,000,000,000.00","$1,449.00","7,245.00"
0x4c8CDd7d5E8399EBF07a41b9feF66a91fc8bdb16,"4,580,000,000,000,000,000,000.00",$916.00,"4,580.00"
0xB004D89f2261a778DdA0656D0525DAD5ba95b5bD,"6,210,000,000,000,000,000,000.00","$1,242.00","6,210.00"
0xd7A490D7Bf95B4E61D59e3e1c8B8943dab51872e,"3,010,000,000,000,000,000,000.00",$602.00,"3,010.00"
0xF9D85652AC13fD2d4f0935eF01d8122534abdA4d,"3,130,000,000,000,000,000,000.00",$626.00,"3,130.00"
0xff22bA098eBdBB54c02fd0Df45f8D05530dA6891,"3,810,000,000,000,000,000,000.00",$762.00,"3,810.00"
0x6Af11f143CCF2ec9eDD6cd730633780f5423EC54,"7,495,000,000,000,000,000,000.00","$1,499.00","7,495.00"
0x162D15DF3cBb61D1Bf59dd8bdB2dC0f2D67df8aB,"1,300,000,000,000,000,000,000.00",$260.00,"1,300.00"
0x9013cECe9C3f5948a809752833ac04402275739E,"6,510,000,000,000,000,000,000.00","$1,302.00","6,510.00"
0x699b50650f5465f395cc81127260F08521aB8C29,"440,000,000,000,000,000,000.00",$88.00,440.00
0x32A26F2381F5275456433d1538D3d3D43D4169C2,"6,530,000,000,000,000,000,000.00","$1,306.00","6,530.00"
0xA30477359fc48cDde1cb78Fe75BBA57C9C089fef,"4,865,000,000,000,000,000,000.00",$973.00,"4,865.00"
0x420f4EeC80AEbe6C9dB842BD769e8Bf2241b6692,"1,900,000,000,000,000,000,000.00",$380.00,"1,900.00"
0xEdCACC97c4FecB9ED87D887F19dD987476f9AFB4,"5,935,000,000,000,000,000,000.00","$1,187.00","5,935.00"
0x09D3B9dE3d0036d78a895D115bBfE279C1bBb9eA,"4,070,000,000,000,000,000,000.00",$814.00,"4,070.00"
0x6655c0eBA3fcc6a90960f0EC9752eA2EAb0E6318,"2,820,000,000,000,000,000,000.00",$564.00,"2,820.00"
0x3bDA755B5f4779a439BEEab4A3999038a477c681,"5,155,000,000,000,000,000,000.00","$1,031.00","5,155.00"
0x5b620F23b03186B3f09F333044DCD9ad2c5117fd,"2,115,000,000,000,000,000,000.00",$423.00,"2,115.00"
0xabE52e27F81c9841a1Da35929EC1A3A2C59AE33d,"3,300,000,000,000,000,000,000.00",$660.00,"3,300.00"
0x04181151857c219F581B1dA8d7437209646EF5D6,"6,995,000,000,000,000,000,000.00","$1,399.00","6,995.00"
0xdA34733377f5b70d55131cfCB3726654171A9059,"5,625,000,000,000,000,000,000.00","$1,125.00","5,625.00"
0x6Cd3e39643Bc48Cb51d4F1a349c0F6fBCe54beF6,"515,000,000,000,000,000,000.00",$103.00,515.00
